post_id,fk_user_id,post_type,title,content,hashtags,location,manual_label,likes,spam_flag,rating,created_at
P8e651c3b,Uc804c343,cultural_info,My Travel Story,Visited a wonderful place!,#food,Morro do Moco,cultural_info,202,0,2.5,2023-11-03
P25557e4a,U770c60a8,feedback,Amazing Experience,Had an unforgettable adventure.,#culture,Quicama National Park,feedback,48,1,4.8,2023-04-15
P1b9936c4,U0db58acf,feedback,Amazing Experience,Visited a wonderful place!,#travel,Morro do Moco,feedback,101,1,3.93,2024-01-17
P75b3f5f6,U602e5341,recommendation,Cultural Insights,Visited a wonderful place!,#travel,Praia Morena,feedback,462,1,3.39,2023-05-12
P6aa4cd14,Uea0659d1,cultural_info,Amazing Experience,Visited a wonderful place!,#culture,Praia Morena,feedback,473,1,1.62,2024-02-09
P056554d1,Ue443856d,recommendation,Tips for Travelers,Had an unforgettable adventure.,#beach,Museu Nacional de História Natural,feedback,465,0,1.62,2023-10-09
P2bf6507a,Ub2355921,travel_tip,My Travel Story,Visited a wonderful place!,#nature,Quicama National Park,feedback,331,0,1.23,2024-05-25
P42ebe4c1,Ue434cedc,travel_tip,Amazing Experience,Visited a wonderful place!,#adventure,Kalandula Falls,feedback,214,0,4.46,2024-06-22
Pc8c8811b,Ufd610ef8,recommendation,Tips for Travelers,The food was delicious!,#culture,Quicama National Park,travel_tip,176,0,3.4,2024-02-02
Pf44ddd75,U596c102d,feedback,Amazing Experience,The food was delicious!,#nature,Morro do Moco,recommendation,458,0,3.83,2023-03-01
Pbd57689c,U44942e18,travel_tip,Cultural Insights,Highly recommend this destination.,#beach,Praia Morena,feedback,336,0,1.08,2023-09-30
P6be7240f,U8ff6d93c,recommendation,My Travel Story,Had an unforgettable adventure.,#adventure,Morro do Moco,feedback,121,0,4.88,2024-01-03
P5c1966f4,U3d6f4149,recommendation,Cultural Insights,Highly recommend this destination.,#nature,Morro do Moco,travel_tip,277,0,4.33,2023-06-29
P7543c6dd,Uae840d43,recommendation,Amazing Experience,Visited a wonderful place!,#beach,Quicama National Park,feedback,10,1,1.85,2023-01-01
Pb771e0af,U9dc553ad,feedback,My Travel Story,The food was delicious!,#food,Morro do Moco,cultural_info,30,0,1.73,2023-06-01
P76d0c3cd,U9415bf18,feedback,Amazing Experience,The food was delicious!,#travel,Museu Nacional de História Natural,travel_tip,300,0,1.73,2023-12-11
P2a7f6a92,Ud194954a,cultural_info,My Travel Story,Highly recommend this destination.,#food,Kalandula Falls,travel_tip,332,0,2.22,2023-06-28
P6565419b,U510ed917,cultural_info,My Travel Story,Highly recommend this destination.,#culture,Museu Nacional de História Natural,cultural_info,65,0,3.1,2023-01-02
P959ef1a7,U2eb78f95,travel_tip,Amazing Experience,Highly recommend this destination.,#nature,Museu Nacional de História Natural,feedback,327,0,2.73,2024-05-23
Pb95bf53d,U12b5e19b,cultural_info,Amazing Experience,Highly recommend this destination.,#adventure,Museu Nacional de História Natural,feedback,325,0,2.16,2023-12-10
Pb8317fc6,U04b792b3,recommendation,Cultural Insights,Highly recommend this destination.,#beach,Ilha do Mussulo,recommendation,179,0,3.45,2023-04-21
P04464cf9,Ueefacd6f,recommendation,Amazing Experience,Had an unforgettable adventure.,#culture,Ilha do Mussulo,travel_tip,496,0,1.56,2024-02-28
P074c9dd9,U25361ee8,travel_tip,Cultural Insights,Had an unforgettable adventure.,#travel,Kalandula Falls,feedback,83,1,2.17,2023-03-17
P12f3bf60,U54914d48,recommendation,Cultural Insights,Visited a wonderful place!,#adventure,Museu Nacional de História Natural,recommendation,37,0,2.47,2023-06-24
Pff101c7e,Uc53b80be,travel_tip,My Travel Story,Visited a wonderful place!,#nature,Praia Morena,cultural_info,304,1,2.82,2023-02-01
Pec6b9327,U975ae0c1,feedback,Tips for Travelers,Highly recommend this destination.,#travel,Praia Morena,cultural_info,105,0,4.14,2024-02-24
P8746696a,U7bfc2dd3,cultural_info,Cultural Insights,The food was delicious!,#beach,Praia Morena,recommendation,201,1,1.8,2023-06-07
P9ad7640b,Udd75bbfa,cultural_info,Amazing Experience,Had an unforgettable adventure.,#travel,Museu Nacional de História Natural,travel_tip,102,0,3.06,2023-01-27
P52a9becb,U26d29648,feedback,Cultural Insights,Visited a wonderful place!,#culture,Praia Morena,cultural_info,401,1,3.37,2024-04-27
P12786716,U278b64a3,cultural_info,Amazing Experience,Had an unforgettable adventure.,#beach,Museu Nacional de História Natural,travel_tip,189,0,1.19,2024-04-01
P3034fc1a,Uf09967f1,cultural_info,Tips for Travelers,Had an unforgettable adventure.,#adventure,Morro do Moco,cultural_info,288,0,3.43,2023-06-04
Pb275b0d1,Uc77a9ef2,recommendation,Amazing Experience,The food was delicious!,#nature,Kalandula Falls,feedback,283,0,1.68,2024-02-01
Pf008c50b,U522dea06,travel_tip,Tips for Travelers,Highly recommend this destination.,#culture,Museu Nacional de História Natural,recommendation,202,0,1.26,2024-05-29
Pd9c67fc9,U2af07fcc,feedback,Amazing Experience,Had an unforgettable adventure.,#beach,Morro do Moco,feedback,413,0,4.8,2023-05-10
Peb366c87,U91c15f49,travel_tip,Amazing Experience,Had an unforgettable adventure.,#beach,Ilha do Mussulo,feedback,427,0,4.86,2023-11-24
P757df109,Ue9292787,recommendation,Amazing Experience,Had an unforgettable adventure.,#nature,Kalandula Falls,cultural_info,438,0,4.23,2024-06-16
P7057032c,Ub62759a9,recommendation,Tips for Travelers,Visited a wonderful place!,#culture,Morro do Moco,feedback,290,0,2.22,2023-04-19
Pfcff9653,U6363ae56,recommendation,Cultural Insights,The food was delicious!,#culture,Museu Nacional de História Natural,travel_tip,335,1,1.39,2024-08-08
Pa13c7515,U905fa850,travel_tip,Amazing Experience,Highly recommend this destination.,#adventure,Kalandula Falls,feedback,316,1,3.74,2023-02-09
P132d2fa6,U4b3bc7ff,cultural_info,My Travel Story,Visited a wonderful place!,#food,Kalandula Falls,cultural_info,459,0,2.76,2023-01-21
Peaab4cc0,Uc9e298e1,cultural_info,Cultural Insights,The food was delicious!,#culture,Ilha do Mussulo,recommendation,497,0,1.49,2023-05-18
P6ce80de0,U10076ad1,travel_tip,Cultural Insights,The food was delicious!,#food,Kalandula Falls,recommendation,96,1,2.98,2023-08-05
P8dff9f29,U3d6f4149,travel_tip,Tips for Travelers,The food was delicious!,#travel,Quicama National Park,feedback,33,0,1.14,2024-06-02
P3dbf0889,U7c38d03b,feedback,Amazing Experience,Highly recommend this destination.,#beach,Morro do Moco,recommendation,127,0,4.64,2024-04-12
Pea69e4e7,U4c09cf9a,cultural_info,My Travel Story,The food was delicious!,#adventure,Kalandula Falls,travel_tip,325,0,2.04,2023-02-01
